NUMERO_REDS;ANO_FATO;MES_NUMERICO;MES_DESCRICAO;DIA_NUMERICO;DATA_FATO;HORARIO_FATO;DIA_DA_SEMANA_FATO;DIA_DA_SEMANA_NUMERICO;FAIXA_HORA_1;FAIXA_HORA_6;DATA_HORA_COMUNICACAO;UF;MUNICIPIO;CODIGO_MUNICIPIO;BAIRRO;BAIRRO_NAO_CADASTRADO;TIPO_LOGRADOURO;LOGRADOURO;LOGRADOURO_NAO_CADASTRADO;NUMERO_LOGRADOURO;NUMERO_LOGRADOURO_NAO_CADASTRADO;DESCRICAO_LOCALIZACAO;CODIGO_NATUREZA_PRINCIPAL;DESCR_NATUREZA_PRINCIPAL;TENTADO_CONSUMADO_PRINCIPAL;CODIGO_NATUREZA_SECUNDARIA1;DESCR_NATUREZA_SECUNDARIA1;TENTADO_CONSUMADO_SECUNDARIA1;CODIGO_NATUREZA_SECUNDARIA2;DESCR_NATUREZA_SECUNDARIA2;TENTADO_CONSUMADO_SECUNDARIA2;CODIGO_NATUREZA_SECUNDARIA3;DESCR_NATUREZA_SECUNDARIA3;TENTADO_CONSUMADO_SECUNDARIA3;COMPLEMENTO_NATUREZA;CODIGO_COMPLEMENTO_NATUREZA;CAUSA_PRESUMIDA;CODIGO_CAUSA_PRESUMIDA;DESCRICAO_MEIO_UTILIZADO;CODIGO_MEIO_UTILIZADO;DESCRICAO_LOCAL_IMEDIATO;CODIGO_LOCAL_IMEDIATO;LATITUDE;LONGITUDE;CODIGO_UNID_AREA_MILITAR;UNID_AREA_MILITAR;CODIGO_UNID_AREA_NIVEL_4;UNID_AREA_NIVEL_4;CODIGO_UNID_AREA_NIVEL_5;UNID_AREA_NIVEL_5;CODIGO_UNID_AREA_NIVEL_6;UNID_AREA_NIVEL_6;CODIGO_UNID_REGISTRO_NIVEL_4;UNID_REGISTRO_NIVEL_4;CODIGO_UNID_REGISTRO_NIVEL_5;UNID_REGISTRO_NIVEL_5;CODIGO_UNID_REGISTRO_NIVEL_6;UNID_REGISTRO_NIVEL_6;CODIGO_UNID_REGISTRO_NIVEL_7;UNID_REGISTRO_NIVEL_7;SETOR;SUB_SETOR;QTDE_ARMAS_FOGO;QTDE_PRISAO;SINALIZADO;TIPO_AUDITORIA;IMV_B01121;IMV_B02001;IMV_B01148;IMV_B01504;IMV_B01129;IMV_C01157;IMV_TOTAL;ICVPE_B01121;ICVPE_B01121_MILITAR;ICVPE_B02001;ICVPE_B01148;ICVPE_B01504;ICVPE_TOTAL;ICVPA_C01157;ICVPA_C01158;ICVPA_C01159;ICVPA_TOTAL;IFZR;OSTR;IFRV;TCO;ARMAS;MATERIAIS;VEICULOS;RECOBRIMENTO
2026-024942779-001;2026;6;JUNHO;1;01/06/2026;12:23:20;SEGUNDA-FEIRA;1;"De 12:00 as 12:59";"De 12:00 as 17:59";"01/06/2026 12:23:00";MG;UBERABA;317010;"COSTA TELLES I";;AVENIDA;"ORLANDO RODRIGUES CUNHA";;3535;;"PERIMETRO URBANO";T10161;"APLICACAO  MEDIDAS ADM PREVISTAS NO ARTIGO 269 DO CTB";CONSUMADO;;;;;;;;;;MOTOCICLETA;618;"OUTROS - CAUSAS RELACIONADAS A TRANSITO";299;VEICULO;1100;"VIA DE ACESSO PUBLICA";2101;-19,7594075;-47,9097918;763;"2 PEL/40 CIA PM/4 BPM/5 RPM";1842;"5 RPM";760;"4 BPM";761;"40 CIA PM/4 BPM/5 RPM";M1842;"5 RPM";M0760;"4 BPM/5 RPM";M3130;"147 CIA TM/4 BPM/5 RPM";M3130;"147 CIA TM/4 BPM/5 RPM";4.40.2;4.40.2.2;0;0;NÃO;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;;;"situacaoPlacaDescricao:REMOVIDO/motivoApreensaoDescricao:APREENSAO POR INFRACAO DE TRANSITO/categoriaVeiculoDescricao:---/especieVeiculoDescricao:PASSAGEIRO/tipoVeiculoDescricao:MOTOCICLETA/marcaModeloDescricao:---/corVeiculoDescricao:---/anoFabricacao:---/|";0
2026-024920948-001;2026;6;JUNHO;1;01/06/2026;10:39:13;SEGUNDA-FEIRA;1;"De 10:00 as 10:59";"De 06:00 as 11:59";"01/06/2026 10:39:00";MG;UBERABA;317010;"PARQUE SAO GERALDO";;AVENIDA;"CORONEL JOAQUIM OLIVEIRA PRATA";;3685;;"PERIMETRO URBANO";A20002;"VISITA TRANQUILIZA EM CASO DE VIOLEN DOMESTI CONTRA MULHERES";CONSUMADO;;;;;;;;;;"MORADOR / VISITANTE DE RESIDENCIA";115;"OUTRAS MOTIVACOES/CAUSAS ";9900;"OUTROS MEIOS ";9900;CASA;1502;-19,7707988;-47,9194415;764;"3 PEL/40 CIA PM/4 BPM/5 RPM";1842;"5 RPM";760;"4 BPM";761;"40 CIA PM/4 BPM/5 RPM";M1842;"5 RPM";M0760;"4 BPM/5 RPM";M0761;"40 CIA PM/4 BPM/5 RPM";M0761;"40 CIA PM/4 BPM/5 RPM";4.40.3;4.40.3.2;0;0;NÃO;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;;;;0
2026-024938322-001;2026;6;JUNHO;1;01/06/2026;12:23:20;SEGUNDA-FEIRA;1;"De 12:00 as 12:59";"De 12:00 as 17:59";"01/06/2026 12:23:00";MG;UBERABA;317010;"COSTA TELLES I";;AVENIDA;"ORLANDO RODRIGUES CUNHA";;3535;;"PERIMETRO URBANO";T10161;"APLICACAO  MEDIDAS ADM PREVISTAS NO ARTIGO 269 DO CTB";CONSUMADO;;;;;;;;;;MOTOCICLETA;618;"OUTROS - CAUSAS RELACIONADAS A TRANSITO";299;VEICULO;1100;"VIA DE ACESSO PUBLICA";2101;-19,7594075;-47,9097918;763;"2 PEL/40 CIA PM/4 BPM/5 RPM";1842;"5 RPM";760;"4 BPM";761;"40 CIA PM/4 BPM/5 RPM";M1842;"5 RPM";M0760;"4 BPM/5 RPM";M3130;"147 CIA TM/4 BPM/5 RPM";M3130;"147 CIA TM/4 BPM/5 RPM";4.40.2;4.40.2.2;0;0;NÃO;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;;;"situacaoPlacaDescricao:REMOVIDO/motivoApreensaoDescricao:APREENSAO POR INFRACAO DE TRANSITO/categoriaVeiculoDescricao:---/especieVeiculoDescricao:PASSAGEIRO/tipoVeiculoDescricao:MOTOCICLETA/marcaModeloDescricao:---/corVeiculoDescricao:---/anoFabricacao:2010/|";0
2026-024903089-001;2026;6;JUNHO;1;01/06/2026;08:53:24;SEGUNDA-FEIRA;1;"De 08:00 as 08:59";"De 06:00 as 11:59";"01/06/2026 08:53:00";MG;UBERABA;317010;"JARDIM SIRIEMA";;RUA;"ALTAIR SILVA";;138;;"PERIMETRO URBANO";A05000;"AVERIGUA PESSOA / VEICULO EM ATITUDE SUSPEITA";CONSUMADO;;;;;;;;;;TRANSEUNTE;111;IGNORADO;9800;IGNORADO;9800;"VIA DE ACESSO PUBLICA";2101;-19,7546175;-47,9037625;3184;"3 PEL/41 CIA PM/4 BPM/5 RPM";1842;"5 RPM";760;"4 BPM";768;"41 CIA PM/4 BPM/5 RPM";M1842;"5 RPM";M0760;"4 BPM/5 RPM";M3130;"147 CIA TM/4 BPM/5 RPM";M3130;"147 CIA TM/4 BPM/5 RPM";4.41.3;4.41.3.2;0;0;NÃO;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;;;;0
2026-024934822-001;2026;6;JUNHO;1;01/06/2026;09:00:00;SEGUNDA-FEIRA;1;"De 09:00 as 09:59";"De 06:00 as 11:59";"01/06/2026 12:07:00";MG;UBERABA;317010;INVÁLIDO;;RODOVIA;"AMG 2555";;6;;"PERIMETRO URBANO";T10161;"APLICACAO  MEDIDAS ADM PREVISTAS NO ARTIGO 269 DO CTB";CONSUMADO;;;;;;;;;;"PROPRIETARIO / CONDUTOR DE VEICULO";110;"OUTRAS MOTIVACOES/CAUSAS ";9900;VEICULO;1100;"VIA DE ACESSO PUBLICA";2101;-19,7555439;-47,8794693;762;"1 PEL/40 CIA PM/4 BPM/5 RPM";1842;"5 RPM";760;"4 BPM";761;"40 CIA PM/4 BPM/5 RPM";M10456;CPE;M1655;BPMRV/CPE;M0104;"6 CIA PM RV/BPMRV/CPE";M2682;"3 PEL RV/6 CIA PM RV/BPMRV/CPE";4.40.1;4.40.1.1;0;0;NÃO;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;;;"situacaoPlacaDescricao:REMOVIDO/motivoApreensaoDescricao:APREENSAO POR INFRACAO DE TRANSITO/categoriaVeiculoDescricao:PARTICULAR/especieVeiculoDescricao:PASSAGEIRO/tipoVeiculoDescricao:AUTOMOVEL/marcaModeloDescricao:FIAT/UNO MILLE EX/corVeiculoDescricao:AZUL/anoFabricacao:---/|";0
2026-024898513-001;2026;6;JUNHO;1;01/06/2026;08:14:55;SEGUNDA-FEIRA;1;"De 08:00 as 08:59";"De 06:00 as 11:59";"01/06/2026 08:14:00";MG;UBERABA;317010;"VILA SAO VICENTE";;AVENIDA;"PRUDENTE DE MORAIS";;1328;;"PERIMETRO URBANO";A05000;"AVERIGUA PESSOA / VEICULO EM ATITUDE SUSPEITA";CONSUMADO;;;;;;;;;;TRANSEUNTE;111;IGNORADO;9800;IGNORADO;9800;"VIA DE ACESSO PUBLICA";2101;-19,7624271;-47,9143793;764;"3 PEL/40 CIA PM/4 BPM/5 RPM";1842;"5 RPM";760;"4 BPM";761;"40 CIA PM/4 BPM/5 RPM";M1842;"5 RPM";M0760;"4 BPM/5 RPM";M0761;"40 CIA PM/4 BPM/5 RPM";M0761;"40 CIA PM/4 BPM/5 RPM";4.40.3;4.40.3.2;0;0;NÃO;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;;;;0
2026-024932704-001;2026;6;JUNHO;1;01/06/2026;10:00:00;SEGUNDA-FEIRA;1;"De 10:00 as 10:59";"De 06:00 as 11:59";"01/06/2026 10:00:00";MG;UBERABA;317010;"NOSSA SENHORA DA ABADIA";;RUA;"MONSENHOR INACIO";;565;;"PERIMETRO URBANO";I04028;"USO E CONSUMO DE DROGAS";CONSUMADO;;;;;;;;;;;;"DEPENDENCIA QUIMICA / VICIO";410;"TRANSPORTAR/TRAZER CONSIGO DROGAS CONSUMO PESSOAL ";6200;"VIA DE ACESSO PUBLICA";2101;-19,7650858;-47,924059;763;"2 PEL/40 CIA PM/4 BPM/5 RPM";1842;"5 RPM";760;"4 BPM";761;"40 CIA PM/4 BPM/5 RPM";M1842;"5 RPM";M0760;"4 BPM/5 RPM";M0761;"40 CIA PM/4 BPM/5 RPM";M0761;"40 CIA PM/4 BPM/5 RPM";4.40.2;4.40.2.2;0;1;NÃO;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SIM;;"situacaoDescricao:APREENDIDO/tipoObjetoDescricao:CRACK EM PEDRAS/marcaPadrao:---/modeloPadrao:---/unidadeMedidaDescricao:UNIDADE/quantidadeMaterial:2/|";;0
2026-024944410-001;2026;6;JUNHO;1;01/06/2026;12:23:20;SEGUNDA-FEIRA;1;"De 12:00 as 12:59";"De 12:00 as 17:59";"01/06/2026 12:23:00";MG;UBERABA;317010;"COSTA TELLES I";;AVENIDA;"ORLANDO RODRIGUES CUNHA";;3535;;"PERIMETRO URBANO";T10161;"APLICACAO  MEDIDAS ADM PREVISTAS NO ARTIGO 269 DO CTB";CONSUMADO;;;;;;;;;;MOTOCICLETA;618;"OUTROS - CAUSAS RELACIONADAS A TRANSITO";299;VEICULO;1100;"VIA DE ACESSO PUBLICA";2101;-19,7594075;-47,9097918;763;"2 PEL/40 CIA PM/4 BPM/5 RPM";1842;"5 RPM";760;"4 BPM";761;"40 CIA PM/4 BPM/5 RPM";M1842;"5 RPM";M0760;"4 BPM/5 RPM";M3130;"147 CIA TM/4 BPM/5 RPM";M3130;"147 CIA TM/4 BPM/5 RPM";4.40.2;4.40.2.2;0;0;NÃO;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;;;"situacaoPlacaDescricao:REMOVIDO/motivoApreensaoDescricao:APREENSAO POR INFRACAO DE TRANSITO/categoriaVeiculoDescricao:---/especieVeiculoDescricao:PASSAGEIRO/tipoVeiculoDescricao:MOTOCICLETA/marcaModeloDescricao:---/corVeiculoDescricao:---/anoFabricacao:---/|";0
2026-024960088-001;2026;6;JUNHO;1;01/06/2026;14:48:31;SEGUNDA-FEIRA;1;"De 14:00 as 14:59";"De 12:00 as 17:59";"01/06/2026 14:48:00";MG;UBERABA;317010;"VILA SAO VICENTE";;RUA;TIMBIRAS;;197;;"PERIMETRO URBANO";I04033;"TRAFICO ILICITO DE DROGAS";CONSUMADO;;;;;;;;;;;;"VANTAGEM ECONOMICA";124;"TRAFICAR DROGAS";5600;"VIA DE ACESSO PUBLICA";2101;-19,7682718;-47,9194037;764;"3 PEL/40 CIA PM/4 BPM/5 RPM";1842;"5 RPM";760;"4 BPM";761;"40 CIA PM/4 BPM/5 RPM";M1842;"5 RPM";M0760;"4 BPM/5 RPM";M3130;"147 CIA TM/4 BPM/5 RPM";M3130;"147 CIA TM/4 BPM/5 RPM";4.40.3;4.40.3.2;0;1;NÃO;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;;"situacaoDescricao:APREENDIDO/tipoObjetoDescricao:TELEFONE CELULAR/marcaPadrao:---/modeloPadrao:---/unidadeMedidaDescricao:UNIDADE/quantidadeMaterial:1/|situacaoDescricao:APREENDIDO/tipoObjetoDescricao:CRACK EM PEDRAS/marcaPadrao:---/modeloPadrao:---/unidadeMedidaDescricao:UNIDADE/quantidadeMaterial:1/|situacaoDescricao:APREENDIDO/tipoObjetoDescricao:MACONHA PRENSADA (BARRA / TABLETE)/marcaPadrao:---/modeloPadrao:---/unidadeMedidaDescricao:UNIDADE/quantidadeMaterial:1/|situacaoDescricao:APREENDIDO/tipoObjetoDescricao:BUCHA DE MACONHA/marcaPadrao:---/modeloPadrao:---/unidadeMedidaDescricao:UNIDADE/quantidadeMaterial:2/|";;0
2026-024905257-001;2026;6;JUNHO;1;01/06/2026;07:28:14;SEGUNDA-FEIRA;1;"De 07:00 as 07:59";"De 06:00 as 11:59";"01/06/2026 07:28:00";MG;UBERABA;317010;"RESIDENCIAL 2000";;RUA;"CELIO DOS REIS CARDOSO [ANTIGA TRES]";;212;;"PERIMETRO URBANO";T10161;"APLICACAO  MEDIDAS ADM PREVISTAS NO ARTIGO 269 DO CTB";CONSUMADO;;;;;;;;;;"PROPRIETARIO / CONDUTOR DE VEICULO";110;IGNORADO;9800;VEICULO;1100;"VIA DE ACESSO PUBLICA";2101;-19,7706206;-47,8884623;762;"1 PEL/40 CIA PM/4 BPM/5 RPM";1842;"5 RPM";760;"4 BPM";761;"40 CIA PM/4 BPM/5 RPM";M1842;"5 RPM";M0760;"4 BPM/5 RPM";M0761;"40 CIA PM/4 BPM/5 RPM";M0761;"40 CIA PM/4 BPM/5 RPM";4.40.1;4.40.1.1;0;0;NÃO;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;;;"situacaoPlacaDescricao:REMOVIDO/motivoApreensaoDescricao:APREENSAO POR INFRACAO DE TRANSITO/categoriaVeiculoDescricao:PARTICULAR/especieVeiculoDescricao:PASSAGEIRO/tipoVeiculoDescricao:MOTOCICLETA/marcaModeloDescricao:HONDA/CG 125 TITAN KS/corVeiculoDescricao:AZUL/anoFabricacao:2003/|";0
2026-024897259-001;2026;6;JUNHO;1;01/06/2026;07:58:43;SEGUNDA-FEIRA;1;"De 07:00 as 07:59";"De 06:00 as 11:59";"01/06/2026 07:58:00";MG;UBERABA;317010;"VILA SAO CRISTOVAO";;AVENIDA;"DEPUTADO JOSE MARCUS CHEREM";;740;;"PERIMETRO URBANO";T10161;"APLICACAO  MEDIDAS ADM PREVISTAS NO ARTIGO 269 DO CTB";CONSUMADO;;;;;;;;;;MOTOCICLETA;618;"OUTROS - CAUSAS RELACIONADAS A TRANSITO";299;VEICULO;1100;"VIA DE ACESSO PUBLICA";2101;-19,7723386;-47,9380842;765;"4 PEL/40 CIA PM/4 BPM/5 RPM";1842;"5 RPM";760;"4 BPM";761;"40 CIA PM/4 BPM/5 RPM";M1842;"5 RPM";M0760;"4 BPM/5 RPM";M3130;"147 CIA TM/4 BPM/5 RPM";M3130;"147 CIA TM/4 BPM/5 RPM";4.40.4;4.40.4.1;0;0;NÃO;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;;;"situacaoPlacaDescricao:APREENDIDO/motivoApreensaoDescricao:APREENSAO POR INFRACAO DE TRANSITO/categoriaVeiculoDescricao:---/especieVeiculoDescricao:---/tipoVeiculoDescricao:MOTOCICLETA/marcaModeloDescricao:---/corVeiculoDescricao:---/anoFabricacao:2000/|";0
2026-024896436-001;2026;6;JUNHO;1;01/06/2026;07:50:55;SEGUNDA-FEIRA;1;"De 07:00 as 07:59";"De 06:00 as 11:59";"01/06/2026 07:50:00";MG;UBERABA;317010;"NOSSA SENHORA DA ABADIA";;RUA;"CAMPOS SALLES";;577;;"PERIMETRO URBANO";A05000;"AVERIGUA PESSOA / VEICULO EM ATITUDE SUSPEITA";CONSUMADO;;;;;;;;;;TRANSEUNTE;111;IGNORADO;9800;INEXISTENTE;9700;"VIA DE ACESSO PUBLICA";2101;-19,7592079;-47,9223957;763;"2 PEL/40 CIA PM/4 BPM/5 RPM";1842;"5 RPM";760;"4 BPM";761;"40 CIA PM/4 BPM/5 RPM";M1842;"5 RPM";M0760;"4 BPM/5 RPM";M0761;"40 CIA PM/4 BPM/5 RPM";M0761;"40 CIA PM/4 BPM/5 RPM";4.40.2;4.40.2.2;0;0;NÃO;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;;;;0
2026-024934638-001;2026;6;JUNHO;1;01/06/2026;09:33:00;SEGUNDA-FEIRA;1;"De 09:00 as 09:59";"De 06:00 as 11:59";"01/06/2026 09:33:00";MG;UBERABA;317010;INVÁLIDO;;RODOVIA;"AMG 2555";;6;;"PERIMETRO URBANO";T10161;"APLICACAO  MEDIDAS ADM PREVISTAS NO ARTIGO 269 DO CTB";CONSUMADO;;;;;;;;;;"PROPRIETARIO / CONDUTOR DE VEICULO";110;"OUTROS - CAUSAS RELACIONADAS A TRANSITO";299;VEICULO;1100;"VIA DE ACESSO PUBLICA";2101;-19,7555439;-47,8794693;762;"1 PEL/40 CIA PM/4 BPM/5 RPM";1842;"5 RPM";760;"4 BPM";761;"40 CIA PM/4 BPM/5 RPM";M10456;CPE;M1655;BPMRV/CPE;M0104;"6 CIA PM RV/BPMRV/CPE";M2682;"3 PEL RV/6 CIA PM RV/BPMRV/CPE";4.40.1;4.40.1.1;0;0;NÃO;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;;;"situacaoPlacaDescricao:REMOVIDO/motivoApreensaoDescricao:APREENSAO POR INFRACAO DE TRANSITO/categoriaVeiculoDescricao:PARTICULAR/especieVeiculoDescricao:PASSAGEIRO/tipoVeiculoDescricao:AUTOMOVEL/marcaModeloDescricao:VW/GOL 16V PLUS/corVeiculoDescricao:CINZA/anoFabricacao:2001/|";0
2026-024942359-001;2026;6;JUNHO;1;01/06/2026;12:23:20;SEGUNDA-FEIRA;1;"De 12:00 as 12:59";"De 12:00 as 17:59";"01/06/2026 12:23:00";MG;UBERABA;317010;"COSTA TELLES I";;AVENIDA;"ORLANDO RODRIGUES CUNHA";;3535;;"PERIMETRO URBANO";T10161;"APLICACAO  MEDIDAS ADM PREVISTAS NO ARTIGO 269 DO CTB";CONSUMADO;;;;;;;;;;MOTOCICLETA;618;"OUTROS - CAUSAS RELACIONADAS A TRANSITO";299;VEICULO;1100;"VIA DE ACESSO PUBLICA";2101;-19,7594075;-47,9097918;763;"2 PEL/40 CIA PM/4 BPM/5 RPM";1842;"5 RPM";760;"4 BPM";761;"40 CIA PM/4 BPM/5 RPM";M1842;"5 RPM";M0760;"4 BPM/5 RPM";M3130;"147 CIA TM/4 BPM/5 RPM";M3130;"147 CIA TM/4 BPM/5 RPM";4.40.2;4.40.2.2;0;0;NÃO;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;;;"situacaoPlacaDescricao:REMOVIDO/motivoApreensaoDescricao:APREENSAO POR INFRACAO DE TRANSITO/categoriaVeiculoDescricao:PARTICULAR/especieVeiculoDescricao:PASSAGEIRO/tipoVeiculoDescricao:MOTOCICLETA/marcaModeloDescricao:---/corVeiculoDescricao:---/anoFabricacao:2001/|";0
2026-024939615-001;2026;6;JUNHO;1;01/06/2026;09:55:00;SEGUNDA-FEIRA;1;"De 09:00 as 09:59";"De 06:00 as 11:59";"01/06/2026 09:55:00";MG;UBERABA;317010;INVÁLIDO;;RODOVIA;"AMG 2555";;6;;"PERIMETRO URBANO";T10161;"APLICACAO  MEDIDAS ADM PREVISTAS NO ARTIGO 269 DO CTB";CONSUMADO;;;;;;;;;;"PROPRIETARIO / CONDUTOR DE VEICULO";110;"OUTROS - CAUSAS RELACIONADAS A TRANSITO";299;VEICULO;1100;"VIA DE ACESSO PUBLICA";2101;-19,7555439;-47,8794693;762;"1 PEL/40 CIA PM/4 BPM/5 RPM";1842;"5 RPM";760;"4 BPM";761;"40 CIA PM/4 BPM/5 RPM";M10456;CPE;M1655;BPMRV/CPE;M0104;"6 CIA PM RV/BPMRV/CPE";M2682;"3 PEL RV/6 CIA PM RV/BPMRV/CPE";4.40.1;4.40.1.1;0;0;NÃO;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;;"situacaoDescricao:OUTROS - SITUACAO DO MATERIAL/tipoObjetoDescricao:OUTROS OBJETOS (DISCRIMINAR NO HISTORICO)/marcaPadrao:---/modeloPadrao:---/unidadeMedidaDescricao:---/quantidadeMaterial:---/|";"situacaoPlacaDescricao:REMOVIDO/motivoApreensaoDescricao:APREENSAO POR INFRACAO DE TRANSITO/categoriaVeiculoDescricao:PARTICULAR/especieVeiculoDescricao:PASSAGEIRO/tipoVeiculoDescricao:MOTOCICLETA/marcaModeloDescricao:HONDA/CB250F TWISTER CBS/corVeiculoDescricao:---/anoFabricacao:2022/|";0
2026-024929899-001;2026;6;JUNHO;1;01/06/2026;11:31:05;SEGUNDA-FEIRA;1;"De 11:00 as 11:59";"De 06:00 as 11:59";"01/06/2026 11:31:00";MG;UBERABA;317010;"VILA ESPERANCA";;RUA;"MAURO SABINO LOES";;450;;"PERIMETRO URBANO";I04033;"TRAFICO ILICITO DE DROGAS";CONSUMADO;;;;;;;;;;;;"VANTAGEM ECONOMICA";124;"TRAFICAR DROGAS";5600;"VIA DE ACESSO PUBLICA";2101;-19,7652835;-47,9054235;764;"3 PEL/40 CIA PM/4 BPM/5 RPM";1842;"5 RPM";760;"4 BPM";761;"40 CIA PM/4 BPM/5 RPM";M1842;"5 RPM";M0760;"4 BPM/5 RPM";M0761;"40 CIA PM/4 BPM/5 RPM";M0761;"40 CIA PM/4 BPM/5 RPM";4.40.3;4.40.3.2;0;2;NÃO;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;;"situacaoDescricao:APREENDIDO/tipoObjetoDescricao:OUTROS OBJETOS (DISCRIMINAR NO HISTORICO)/marcaPadrao:---/modeloPadrao:---/unidadeMedidaDescricao:UNIDADE/quantidadeMaterial:1/|situacaoDescricao:APREENDIDO/tipoObjetoDescricao:MOEDA NACIONAL (REAL)/marcaPadrao:---/modeloPadrao:---/unidadeMedidaDescricao:---/quantidadeMaterial:---/|situacaoDescricao:APREENDIDO/tipoObjetoDescricao:CRACK EM PEDRAS/marcaPadrao:---/modeloPadrao:---/unidadeMedidaDescricao:UNIDADE/quantidadeMaterial:42/|situacaoDescricao:APREENDIDO/tipoObjetoDescricao:CRACK EM PEDRAS/marcaPadrao:---/modeloPadrao:---/unidadeMedidaDescricao:UNIDADE/quantidadeMaterial:2/|";;0
2026-024896843-001;2026;6;JUNHO;1;01/06/2026;07:56:03;SEGUNDA-FEIRA;1;"De 07:00 as 07:59";"De 06:00 as 11:59";"01/06/2026 07:56:00";MG;UBERABA;317010;"NOSSA SENHORA DA ABADIA";;RUA;"MONSENHOR INACIO";;576;;"PERIMETRO URBANO";A05000;"AVERIGUA PESSOA / VEICULO EM ATITUDE SUSPEITA";CONSUMADO;;;;;;;;;;TRANSEUNTE;111;IGNORADO;9800;IGNORADO;9800;"VIA DE ACESSO PUBLICA";2101;-19,7651861;-47,9241893;763;"2 PEL/40 CIA PM/4 BPM/5 RPM";1842;"5 RPM";760;"4 BPM";761;"40 CIA PM/4 BPM/5 RPM";M1842;"5 RPM";M0760;"4 BPM/5 RPM";M0761;"40 CIA PM/4 BPM/5 RPM";M0761;"40 CIA PM/4 BPM/5 RPM";4.40.2;4.40.2.2;0;0;NÃO;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;;;;0
2026-024935266-001;2026;6;JUNHO;1;01/06/2026;10:00:00;SEGUNDA-FEIRA;1;"De 10:00 as 10:59";"De 06:00 as 11:59";"01/06/2026 12:11:00";MG;UBERABA;317010;INVÁLIDO;;RODOVIA;"AMG 2555";;6;;"PERIMETRO URBANO";T10161;"APLICACAO  MEDIDAS ADM PREVISTAS NO ARTIGO 269 DO CTB";CONSUMADO;;;;;;;;;;"PROPRIETARIO / CONDUTOR DE VEICULO";110;"OUTRAS MOTIVACOES/CAUSAS ";9900;VEICULO;1100;"VIA DE ACESSO PUBLICA";2101;-19,7555439;-47,8794693;762;"1 PEL/40 CIA PM/4 BPM/5 RPM";1842;"5 RPM";760;"4 BPM";761;"40 CIA PM/4 BPM/5 RPM";M10456;CPE;M1655;BPMRV/CPE;M0104;"6 CIA PM RV/BPMRV/CPE";M2682;"3 PEL RV/6 CIA PM RV/BPMRV/CPE";4.40.1;4.40.1.1;0;0;NÃO;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;;;"situacaoPlacaDescricao:REMOVIDO/motivoApreensaoDescricao:APREENSAO POR INFRACAO DE TRANSITO/categoriaVeiculoDescricao:PARTICULAR/especieVeiculoDescricao:CARGA/tipoVeiculoDescricao:SEMI-REBOQUE/marcaModeloDescricao:---/corVeiculoDescricao:PRETA/anoFabricacao:---/|situacaoPlacaDescricao:VEICULO LIBERADO PARA TERCEIRO/motivoApreensaoDescricao:---/categoriaVeiculoDescricao:PARTICULAR/especieVeiculoDescricao:MISTO/tipoVeiculoDescricao:Camioneta (Monobloco)/marcaModeloDescricao:HYUNDAI/TUCSON TURBO GLS/corVeiculoDescricao:PRATA/anoFabricacao:2008/|";0
